                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1398,                 3.1194,                 2.2902,                      0,                      0,                      0,                      0,                      0,                 240.49,                      0,                 0.0001,                 0.0001,                 0.0001
                      2,                  1.522,                 2.5125,                 1.7552,                      0,                      0,                      0,                      0,                      0,                 230.42,                      0,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.3078,                 1.7994,                 1.5262,                      0,                      0,                      0,                      0,                      0,                 220.51,                      0,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.2544,                 1.5191,                 1.4996,                      0,                      0,                      0,                      0,                      0,                 216.85,                      0,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.2454,                 1.4901,                 1.4623,                      0,                      0,                      0,                      0,                      0,                 214.57,                      0,             0.00055703,             0.00055703,             0.00055703
                      6,                 1.1599,                 1.4127,                 1.3691,                      0,                      0,                      0,                      0,                      0,                 220.99,                      0,             0.00066535,             0.00066535,             0.00066535
                      7,                 1.1672,                 1.3139,                 1.3669,                      0,                      0,                      0,                      0,                      0,                 241.14,                      0,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.1532,                 1.2934,                 1.3636,                      0,                      0,                      0,                      0,                      0,                 255.01,                      0,             0.00087486,             0.00087486,             0.00087486
                      9,                 1.1824,                 1.2943,                 1.4137,                      0,                      0,                      0,                      0,                      0,                  274.7,                      0,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.1465,                 1.3127,                 1.4188,                      0,                      0,                      0,                      0,                      0,                    253,                      0,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.1529,                  1.283,                 1.4146,                      0,                      0,                      0,                      0,                      0,                 309.01,                      0,              0.0011713,              0.0011713,              0.0011713
                     12,                 1.1062,                  1.281,                 1.3391,                      0,                      0,                      0,                      0,                      0,                 344.61,                      0,              0.0012654,              0.0012654,              0.0012654
                     13,                 1.1355,                 1.2379,                 1.3769,                      0,                      0,                      0,                      0,                      0,                 362.41,                      0,               0.001357,               0.001357,               0.001357
                     14,                 1.1607,                 1.2521,                 1.4326,                      0,                      0,                      0,                      0,                      0,                 378.95,                      0,              0.0014464,              0.0014464,              0.0014464
                     15,                 1.2046,                 1.2084,                 1.4524,                      0,                      0,                      0,                      0,                      0,                 390.65,                      0,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.1298,                 1.1708,                 1.3874,                      0,                      0,                      0,                      0,                      0,                 276.91,                      0,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.1043,                 1.1136,                 1.3606,                      0,                      0,                      0,                      0,                      0,                 230.14,                      0,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0551,                 1.0398,                 1.3055,                      0,                      0,                      0,                      0,                      0,                  243.7,                      0,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1574,                 1.0695,                 1.3578,                      0,                      0,                      0,                      0,                      0,                 240.19,                      0,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1724,                 1.0849,                 1.3431,                      0,                      0,                      0,                      0,                      0,                 333.28,                      0,              0.0016238,              0.0016238,              0.0016238
                     21,                0.98764,                0.96756,                 1.2962,                      0,                      0,                      0,                      0,                      0,                 276.35,                      0,               0.001604,               0.001604,               0.001604
                     22,                 1.0594,                0.98146,                 1.3217,                      0,                      0,                      0,                      0,                      0,                 208.78,                      0,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0335,                 0.9343,                  1.298,                      0,                      0,                      0,                      0,                      0,                 252.86,                      0,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0676,                0.95531,                 1.3579,                      0,                      0,                      0,                      0,                      0,                 266.75,                      0,              0.0015446,              0.0015446,              0.0015446
                     25,                0.96006,                0.80918,                 1.2055,                      0,                      0,                      0,                      0,                      0,                 236.23,                      0,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.012,                0.90272,                 1.2819,                      0,                      0,                      0,                      0,                      0,                 202.46,                      0,               0.001505,               0.001505,               0.001505
                     27,                 1.0125,                0.89816,                 1.2769,                      0,                      0,                      0,                      0,                      0,                 180.92,                      0,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1017,                0.88877,                 1.3392,                      0,                      0,                      0,                      0,                      0,                 216.34,                      0,              0.0014654,              0.0014654,              0.0014654
                     29,                0.92361,                0.81446,                 1.2208,                      0,                      0,                      0,                      0,                      0,                 253.03,                      0,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0174,                0.83816,                 1.3009,                      0,                      0,                      0,                      0,                      0,                 239.25,                      0,              0.0014258,              0.0014258,              0.0014258
                     31,                0.96123,                0.80858,                 1.2433,                      0,                      0,                      0,                      0,                      0,                 196.28,                      0,               0.001406,               0.001406,               0.001406
                     32,                0.96683,                0.83634,                 1.2516,                      0,                      0,                      0,                      0,                      0,                 164.02,                      0,              0.0013862,              0.0013862,              0.0013862
                     33,                0.96387,                0.80067,                 1.2014,                      0,                      0,                      0,                      0,                      0,                 181.26,                      0,              0.0013664,              0.0013664,              0.0013664
                     34,                0.99752,                0.79385,                 1.2331,                      0,                      0,                      0,                      0,                      0,                 191.55,                      0,              0.0013466,              0.0013466,              0.0013466
                     35,                0.97496,                0.80127,                 1.2714,                      0,                      0,                      0,                      0,                      0,                 168.39,                      0,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0349,                 0.8512,                 1.2962,                      0,                      0,                      0,                      0,                      0,                 86.674,                      0,               0.001307,               0.001307,               0.001307
                     37,                0.94897,                0.78631,                 1.2401,                      0,                      0,                      0,                      0,                      0,                 91.847,                      0,              0.0012872,              0.0012872,              0.0012872
