                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2587,                 4.2117,                 2.6797,                      0,                      0,                      0,                      0,                      0,                 167.79,                      0,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.6816,                 3.1813,                 2.1217,                      0,                      0,                      0,                      0,                      0,                 168.07,                      0,             0.00019822,             0.00019822,             0.00019822
                      3,                  1.456,                 2.4212,                 1.7904,                      0,                      0,                      0,                      0,                      0,                 169.51,                      0,             0.00027268,             0.00027268,             0.00027268
                      4,                 1.2431,                 2.2597,                 1.5989,                      0,                      0,                      0,                      0,                      0,                 168.17,                      0,             0.00032338,             0.00032338,             0.00032338
                      5,                 1.1405,                 2.0344,                 1.6048,                      0,                      0,                      0,                      0,                      0,                 167.64,                      0,             0.00035032,             0.00035032,             0.00035032
                      6,                 1.1812,                 1.9257,                 1.5533,                      0,                      0,                      0,                      0,                      0,                 165.47,                      0,              0.0003535,              0.0003535,              0.0003535
                      7,                 1.1536,                 1.8938,                  1.516,                      0,                      0,                      0,                      0,                      0,                 164.04,                      0,             0.00033292,             0.00033292,             0.00033292
                      8,                 1.0443,                 1.7655,                 1.3951,                      0,                      0,                      0,                      0,                      0,                 164.51,                      0,             0.00028858,             0.00028858,             0.00028858
                      9,                0.99014,                 1.6183,                 1.3695,                      0,                      0,                      0,                      0,                      0,                 165.04,                      0,             0.00022048,             0.00022048,             0.00022048
                     10,                0.95317,                 1.5874,                 1.3151,                      0,                      0,                      0,                      0,                      0,                 166.16,                      0,             0.00012862,             0.00012862,             0.00012862
